,Ligand,Ar_X,Base,Additive,Product,Yield,Amines,Solvent,rxn_SMILES
0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,FC(F)(F)c1ccc(Cl)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,26.888614654541016,Nc1ccccc1,CS(=O)C,FC(F)(F)c1ccc(Cl)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,FC(F)(F)c1ccc(Br)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,24.06322479248047,Nc1ccccc1,CS(=O)C,FC(F)(F)c1ccc(Br)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
2,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,FC(F)(F)c1ccc(I)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,47.51581954956055,Nc1ccccc1,CS(=O)C,FC(F)(F)c1ccc(I)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1
3,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,COc1ccc(Cl)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,COc1ccc(Nc2ccc(C)cc2)cc1,2.1268310546875,Nc1ccccc1,CS(=O)C,COc1ccc(Cl)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>COc1ccc(Nc2ccc(C)cc2)cc1
4,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,COc1ccc(Br)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,COc1ccc(Nc2ccc(C)cc2)cc1,47.58635330200195,Nc1ccccc1,CS(=O)C,COc1ccc(Br)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>COc1ccc(Nc2ccc(C)cc2)cc1
5,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,COc1ccc(I)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,COc1ccc(Nc2ccc(C)cc2)cc1,50.06002426147461,Nc1ccccc1,CS(=O)C,COc1ccc(I)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>COc1ccc(Nc2ccc(C)cc2)cc1
6,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,CCc1ccc(Cl)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,CCc1ccc(Nc2ccc(C)cc2)cc1,26.623394012451172,Nc1ccccc1,CS(=O)C,CCc1ccc(Cl)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>CCc1ccc(Nc2ccc(C)cc2)cc1
7,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,CCc1ccc(Br)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,CCc1ccc(Nc2ccc(C)cc2)cc1,71.96256256103516,Nc1ccccc1,CS(=O)C,CCc1ccc(Br)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>CCc1ccc(Nc2ccc(C)cc2)cc1
8,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,CCc1ccc(I)cc1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,CCc1ccc(Nc2ccc(C)cc2)cc1,73.69723510742188,Nc1ccccc1,CS(=O)C,CCc1ccc(I)cc1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>CCc1ccc(Nc2ccc(C)cc2)cc1
9,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1,Clc1ccccn1,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,,Cc1ccc(Nc2ccccn2)cc1,17.98571014404297,Nc1ccccc1,CS(=O)C,Clc1ccccn1.CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C.Nc1ccccc1.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)(C2CCCCC2)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c(C(C)C)c1.[Pd]..CS(=O)C>>Cc1ccc(Nc2ccccn2)cc1
